RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
1	 President/Vice President	27983	Peta Lindsay / Yari Osorio	0	0	Socialism & Liberation Party Nominees	Federal
1	 President/Vice President	27985	James Harris / Alyson Kennedy	0	0	Socialist Workers Party Nominees	Federal
1	 President/Vice President	27986	Ross C. (Rocky) Anderson / Luis J. Rodriguez	0	0	Justice Party Nominees	Federal
2	 U.S. Senator	23100	Maria Cantwell	0	0	(Prefers Democratic Party)	Federal
2	 U.S. Senator	23036	Michael Baumgartner	0	0	(Prefers Republican Party)	Federal
6	 Congressional District 1 - U.S. Representative	24528	John Koster	0	0	(Prefers Republican Party)	Congressional
6	 Congressional District 1 - U.S. Representative	24562	Suzan DelBene	0	0	(Prefers Democratic Party)	Congressional
28828	 Congressional District 1 One Month Short Term - U.S. Representative	27521	John Koster	0	0	(Prefers Republican Party)	Congressional
28828	 Congressional District 1 One Month Short Term - U.S. Representative	26917	Suzan DelBene	0	0	(Prefers Democratic Party)	Congressional
8	 Congressional District 2 - U.S. Representative	24244	Rick Larsen	0	0	(Prefers Democratic Party)	Congressional
8	 Congressional District 2 - U.S. Representative	22834	Dan Matthews	0	0	(Prefers Republican Party)	Congressional
5	 Congressional District 3 - U.S. Representative	23291	Jaime Herrera Beutler	0	0	(Prefers Republican Party)	Congressional
5	 Congressional District 3 - U.S. Representative	23030	Jon T. Haugen	0	0	(Prefers Democratic Party)	Congressional
7	 Congressional District 4 - U.S. Representative	23090	Doc Hastings	0	0	(Prefers Republican Party)	Congressional
7	 Congressional District 4 - U.S. Representative	25333	Mary Baechler	0	0	(Prefers Democratic Party)	Congressional
4	 Congressional District 5 - U.S. Representative	25711	Cathy McMorris Rodgers	0	0	(Prefers Republican Party)	Congressional
4	 Congressional District 5 - U.S. Representative	23616	Rich Cowan	0	0	(Prefers Democratic Party)	Congressional
9	 Congressional District 6 - U.S. Representative	22787	Derek Kilmer	0	0	(Prefers Democratic Party)	Congressional
9	 Congressional District 6 - U.S. Representative	25317	Bill Driscoll	0	0	(Prefers Republican Party)	Congressional
11	 Congressional District 7 - U.S. Representative	24517	Jim McDermott	0	0	(Prefers Democratic Party)	Congressional
11	 Congressional District 7 - U.S. Representative	27737	Ron Bemis	0	0	(Prefers Republican Party)	Congressional
12	 Congressional District 8 - U.S. Representative	22838	Dave Reichert	0	0	(Prefers Republican Party)	Congressional
12	 Congressional District 8 - U.S. Representative	22964	Karen Porterfield	0	0	(Prefers Democratic Party)	Congressional
10	 Congressional District 9 - U.S. Representative	24555	Adam Smith	0	0	(Prefers Democratic Party)	Congressional
10	 Congressional District 9 - U.S. Representative	23655	Jim Postma	0	0	(Prefers Republican Party)	Congressional
28824	 Congressional District 10 - U.S. Representative	25029	Denny Heck	0	0	(Prefers Democratic Party)	Congressional
28824	 Congressional District 10 - U.S. Representative	22744	Richard (Dick) Muri	0	0	(Prefers Republican Party)	Congressional
13	 Governor	24230	Jay Inslee	0	0	(Prefers Democratic Party)	State Executive
13	 Governor	26224	Rob McKenna	0	0	(Prefers Republican Party)	State Executive
14	 Lt. Governor	22477	Brad Owen	0	0	(Prefers Democrat Party)	State Executive
14	 Lt. Governor	24457	Bill Finkbeiner	0	0	(Prefers Republican Party)	State Executive
15	 Secretary of State	23674	Kim Wyman	0	0	(Prefers Republican Party)	State Executive
